14926KSTC STC20050501081513305/01/05 08:15:31  5-MIN KSTC 011415Z 31015G21KT 8SM -SN SCT025 SCT036  OVC060 02/M03 A2998 970 67 -300 300/15G21 RMK AO2 SNB14 P0000
14926KSTC STC20050501082013305/01/05 08:20:31  5-MIN KSTC 011420Z 30016G21KT 7SM -SN SCT025 BKN033  OVC060 02/M03 A2999 970 69 -300 300/16G21 RMK AO2 SNB14 P0000
14926KSTC STC20050501082513305/01/05 08:25:31  5-MIN KSTC 011425Z 31018G21KT 7SM -SN SCT025 BKN032  OVC060 02/M03 A2999 960 69 -300 300/18G21 RMK AO2 SNB14 P0000
14926KSTC STC20050501083012605/01/05 08:30:31  5-MIN KSTC 011430Z 31018KT 5SM -SN FEW025 BKN032 OVC055 02/M03 A2999 960 69 -300 310/18 RMK AO2 SNB14 P0000
14926KSTC STC20050501083511905/01/05 08:35:31  5-MIN KSTC 011435Z 32018KT 7SM -SN SCT025 OVC032 02/M03 A2999 960 69 -300 310/18 RMK AO2 SNB14 P0000
14926KSTC STC20050501084011905/01/05 08:40:31  5-MIN KSTC 011440Z 32015KT 8SM -SN BKN027 OVC034 02/M04 A2999 960 66 -300 320/15 RMK AO2 SNB14 P0000
14926KSTC STC20050501084511305/01/05 08:45:31  5-MIN KSTC 011445Z 31014KT 9SM -SN OVC029 02/M03 A2999  960 69 -300 310/14 RMK AO2 SNB14 P0000
14926KSTC STC20050501085014105/01/05 08:50:31  5-MIN KSTC 011450Z 32017KT 9SM OVC029 02/M03 A2999 960  69 -300 320/17 RMK AO2 SNB14E49 SLP174 P0000 60000 T00171033 53001
14926KSTC STC20050501085509705/01/05 08:55:31  5-MIN KSTC 011455Z 31015KT 9SM OVC029 02/M03 A2999 960  67 -300 310/15 RMK AO2
14926KSTC STC20050501090009705/01/05 09:00:31  5-MIN KSTC 011500Z 31016KT 10SM OVC029 02/M03 A3000 960 67 -300 310/16 RMK AO2
14926KSTC STC20050501090510405/01/05 09:05:31  5-MIN KSTC 011505Z 31017G22KT 10SM OVC031 02/M03 A3000  960 67 -300 310/17G22 RMK AO2
14926KSTC STC20050501091010405/01/05 09:10:31  5-MIN KSTC 011510Z 31014G22KT 10SM OVC029 02/M03 A3000  960 69 -300 310/14G22 RMK AO2
14926KSTC STC20050501091510505/01/05 09:15:31  5-MIN KSTC 011515Z 32014KT 10SM FEW025 OVC031 02/M04  A3000 960 64 -300 310/14 RMK AO2
14926KSTC STC20050501092011005/01/05 09:20:31  5-MIN KSTC 011520Z 32017G20KT 10SM SCT027 OVC033 02/M04 A3000 960 64 -300 320/17G20 RMK AO2
14926KSTC STC20050501092510505/01/05 09:25:31  5-MIN KSTC 011525Z 32016KT 10SM SCT027 OVC033 03/M04  A3000 960 61 -200 320/16 RMK AO2
14926KSTC STC20050501093011205/01/05 09:30:31  5-MIN KSTC 011530Z 32015KT 10SM FEW027 BKN033 OVC075  03/M04 A3000 960 59 -200 320/15 RMK AO2
14926KSTC STC20050501093511205/01/05 09:35:31  5-MIN KSTC 011535Z 32015KT 10SM BKN031 BKN039 OVC075  03/M04 A3000 960 57 -100 320/15 RMK AO2
14926KSTC STC20050501094011705/01/05 09:40:31  5-MIN KSTC 011540Z 31013G21KT 10SM FEW028 BKN035 OVC075 03/M04 A3000 960 57 -100 310/13G21 RMK AO2
14926KSTC STC20050501094511705/01/05 09:45:31  5-MIN KSTC 011545Z 31015G21KT 10SM FEW028 BKN035 OVC075 03/M04 A3000 950 57 -100 310/15G21 RMK AO2
14926KSTC STC20050501095012705/01/05 09:50:31  5-MIN KSTC 011550Z 31014G20KT 10SM BKN035 OVC075 03/M04 A3000 950 57 -100 310/14G20 RMK AO2 SLP177 T00331044
14926KSTC STC20050501095510505/01/05 09:55:31  5-MIN KSTC 011555Z 31016KT 10SM BKN037 OVC045 03/M04  A3000 960 57 -100 300/16 RMK AO2
14926KSTC STC20050501100010505/01/05 10:00:31  5-MIN KSTC 011600Z 30014KT 10SM BKN035 OVC042 04/M04  A3000 960 54 -100 300/14 RMK AO2
14926KSTC STC20050501100511005/01/05 10:05:31  5-MIN KSTC 011605Z 30017G23KT 10SM BKN035 OVC043 03/M04 A2999 960 57 -100 300/17G23 RMK AO2
14926KSTC STC20050501101012705/01/05 10:10:31  5-MIN KSTC 011610Z 31016G23KT 10SM -SN BKN037 OVC050  04/M04 A2999 960 54 -100 310/16G23 RMK AO2 SNB06 P0000
14926KSTC STC20050501101512505/01/05 10:15:31  5-MIN KSTC 011615Z 30020G24KT 9SM SCT035 OVC045 03/M05  A2999 960 54 -100 300/20G24 RMK AO2 SNB06E14 P0000
14926KSTC STC20050501102012505/01/05 10:20:31  5-MIN KSTC 011620Z 31017G24KT 10SM BKN039 OVC048 03/M05 A2999 960 54 -100 310/17G24 RMK AO2 SNB06E14 P0000
14926KSTC STC20050501102511705/01/05 10:25:31  5-MIN KSTC 011625Z 30016KT 10SM SCT036 OVC046 04/M04  A3000 960 55 0 290/16 RMK AO2 SNB06E14 P0000
14926KSTC STC20050501103012405/01/05 10:30:31  5-MIN KSTC 011630Z 32016KT 10SM FEW034 BKN046 OVC055  04/M04 A2999 960 55 0 320/16 RMK AO2 SNB06E14 P0000
14926KSTC STC20050501103512905/01/05 10:35:31  5-MIN KSTC 011635Z 31018G22KT 10SM FEW034 BKN046 OVC060 04/M04 A3000 950 52 0 310/18G22 RMK AO2 SNB06E14 P0000
14926KSTC STC20050501104013905/01/05 10:40:31  5-MIN KSTC 011640Z 31019G24KT 7SM -SN SCT034 BKN042  OVC049 03/M03 A3000 950 61 -100 300/19G24 RMK AO2 SNB06E14B40 P0000
14926KSTC STC20050501104513905/01/05 10:45:31  5-MIN KSTC 011645Z 31016G24KT 6SM -SN BKN035 BKN045  OVC055 04/M03 A3000 950 62 -100 310/16G24 RMK AO2 SNB06E14B40 P0000
14926KSTC STC20050501105014605/01/05 10:50:31  5-MIN KSTC 011650Z 30015KT 8SM -SN BKN037 BKN047 OVC060 04/M03 A3000 960 59 0 300/15 RMK AO2 SNB06E14B40 SLP174 P0000 T00441028
14926KSTC STC20050501105511405/01/05 10:55:31  5-MIN KSTC 011655Z 32014G18KT 9SM BKN036 BKN047 OVC060  05/M03 A2999 960 55 0 310/14G18 RMK AO2
14926KSTC STC20050501110010905/01/05 11:00:31  5-MIN KSTC 011700Z 31016KT 10SM BKN034 BKN048 OVC060  05/M04 A2999 960 52 0 300/16 RMK AO2
14926KSTC STC20050501110511405/01/05 11:05:31  5-MIN KSTC 011705Z 30015G20KT 10SM SCT032 BKN042 OVC050 05/M04 A2999 960 52 0 300/15G20 RMK AO2
14926KSTC STC20050501111011605/01/05 11:10:31  5-MIN KSTC 011710Z 30015G20KT 10SM SCT033 BKN041 OVC055 06/M04 A2999 960 50 100 300/15G20 RMK AO2
14926KSTC STC20050501111511105/01/05 11:15:31  5-MIN KSTC 011715Z 32014KT 10SM FEW033 BKN041 BKN050  07/M04 A2999 960 47 200 310/14 RMK AO2
14926KSTC STC20050501112011105/01/05 11:20:31  5-MIN KSTC 011720Z 29015KT 10SM SCT036 SCT044 BKN050  06/M04 A2998 970 48 100 290/15 RMK AO2
14926KSTC STC20050501112510405/01/05 11:25:31  5-MIN KSTC 011725Z 31014KT 10SM SCT034 BKN050 06/M04  A2998 970 46 200 310/14 RMK AO2
14926KSTC STC20050501113011605/01/05 11:30:31  5-MIN KSTC 011730Z 32017G20KT 10SM FEW034 BKN047 OVC055 06/M04 A2998 970 46 200 310/17G20 RMK AO2
14926KSTC STC20050501113510205/01/05 11:35:31  5-MIN KSTC 011735Z 31013KT 10SM BKN043 OVC055 05/M04  A2998 970 50 0 310/13 RMK AO2
